Province,Location,Latitude,Longitude,Pathogen Common Name,Display
Alberta,Edmonton,-113.4938,53.5461,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Leduc,-113.5527,53.2647,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Wetaskiwin,-113.3661,52.9688,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Red Deer,-113.8116,52.269,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Calgary,-114.0719,51.0447,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Cremona,-114.4922,51.5447,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Water Valley,-114.6107,51.5037,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Lethbridge,-112.8451,49.6956,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Alberta,Medicine Hat,-110.7197,50.0421,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Saskatchewan,Saskatoon,-106.67,52.1332,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Saskatchewan,Regina,-104.6189,50.4452,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Saskatchewan, Melfort,-104.6143,52.8608,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Saskatchewan,North Battleford,-108.2975,52.7765,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Manitoba,winnipeg,-97.1384,49.8951,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Manitoba,Thompson,-97.8509,55.7449,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Manitoba,Brandon,-99.9501,49.8485,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Ontario,Toronto,-79.3832,43.6532,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Ontario,Ottawa,-75.6972,45.4215,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Quebec,Montreal,-73.5673,45.5017,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
Quebec,Quebec City,-71.208,46.8139,Clubroot,Mock Data: Clubroot has been detected in this area. Please use extreme care to avoid spreading the pathogen and disease
